4-1	僕はもう夢中。
5066-0	ただ予想以上の収穫に唖然とする。
5066-1	予想以上の収穫にただ唖然とする。
5067-0	あのクソ番組の方がまだこれならマシだ。
5067-1	これならまだあのクソ番組の方がマシだ。
5068-0	ある作業が学校じゅうで，進行しています。
5068-1	学校じゅうで，ある作業が進行しています。
5070-1	懐中電灯は枕元に常に置いています！
5070-0	枕元に常に懐中電灯は置いています！
5073-1	阪神大震災では被災した犬や猫６００匹近くを救護。
5073-0	被災した犬や猫６００匹近くを阪神大震災では救護。
5082-1	今頃は平和な暮らしが待ってたのにな。
5082-0	平和な暮らしが今頃は待ってたのにな。
5083-0	全部正直見たいです。
5083-1	正直全部見たいです。
5085-0	メガネデブは今回は参戦しないのか？
5085-1	今回はメガネデブは参戦しないのか？
5087-0	漢を最後のコマのパンツに感じる。
5087-1	最後のコマのパンツに漢を感じる。
5090-1	いつも心に花を持て
5090-0	花をいつも心に持て
5091-0	水洗便所に個人で改造される方
5091-1	個人で水洗便所に改造される方
5092-0	何とかこれで進展しそうです。
5092-1	これで何とか進展しそうです。
5094-0	すべてなんとか記録できないものだろうか。
5094-1	なんとかすべて記録できないものだろうか。
5098-1	エデュトイが欲しいなら４月以降好きな時にやめれば良いんじゃないでしょうか？
5098-0	４月以降好きな時にエデュトイが欲しいならやめれば良いんじゃないでしょうか？
5099-0	彼氏いるよな一番クラスで可愛いんだからｏｒｚ
5099-1	クラスで一番可愛いんだから彼氏いるよなｏｒｚ
5101-0	製品に想定される危険性を社内規定には記述。
5101-1	社内規定には製品に想定される危険性を記述。
5103-1	お好みで追加の塩とライム汁をくわえる。
5103-0	追加の塩とライム汁をお好みでくわえる。
5104-1	まずは横浜を目指します。
5104-0	横浜をまずは目指します。
5105-0	システムが私は悪いんじゃないかとおもいますけど。
5105-1	私はシステムが悪いんじゃないかとおもいますけど。
5109-0	夏はそこまですぐやってきている。
5109-1	夏はすぐそこまでやってきている。
5133-1	とうとう弾き語りまで始めちゃいましたね。
5133-0	弾き語りまでとうとう始めちゃいましたね。
5135-0	どこかで今年こそ会えるといいですね☆
5135-1	今年こそどこかで会えるといいですね☆
5136-0	八幡平頂上方面へ東北道松尾八幡平ＩＣより１０分
5136-1	東北道松尾八幡平ＩＣより八幡平頂上方面へ１０分
5137-0	２階の床をいよいよ貼ります。
5137-1	いよいよ２階の床を貼ります。
5140-0	やや朝に食べ過ぎたせいか少なめの量。
5140-1	朝に食べ過ぎたせいかやや少なめの量。
5141-1	そもそも群馬ってネーミングも可笑しいよな。
5141-0	群馬ってそもそもネーミングも可笑しいよな。
5142-1	ＧＫ榎本達也はＰＫに強い印象があったから。
5142-0	ＰＫに強い印象がＧＫ榎本達也はあったから。
5145-0	こっちのがやっぱり好きだ…！
5145-1	やっぱりこっちのが好きだ…！
5146-1	総理大臣の発言が問題になっている。
5146-0	問題に総理大臣の発言がなっている。
5155-1	最下位当選の１４７６票は前回最下位当選の１０６６票を４００票以上も上回っている。
5155-0	最下位当選の１４７６票は４００票以上も前回最下位当選の１０６６票を上回っている。
5157-0	連休は昔からサービス業の自分にはありません。
5157-1	サービス業の自分には昔から連休はありません。
5166-1	ただ，煙草吸う人だと少し不便ですね．
5166-0	少しただ，煙草吸う人だと不便ですね．
5167-0	７００円台がセットで普通。
5167-1	セットで７００円台が普通。
5168-1	やはりこれはダメでした。
5168-0	これはやはりダメでした。
5169-0	餌採りもそんなわけであそこかな…。
5169-1	そんなわけで餌採りもあそこかな…。
5178-0	設定の変更は操作を以下の手順で行います。
5178-1	設定の変更は以下の手順で操作を行います。
5180-0	自分から女って脱ぐんですか？
5180-1	女って自分から脱ぐんですか？
5186-0	その群れへと俺も混ざっていく。
5186-1	俺もその群れへと混ざっていく。
5189-0	旅行を定額給付金で計画！
5189-1	定額給付金で旅行を計画！
5190-0	２４日から大阪には行きます。
5190-1	大阪には２４日から行きます。
5191-0	チキンラーメンも残念ながら敬虔なムスリムにはダメ。
5191-1	残念ながら敬虔なムスリムにはチキンラーメンもダメ。
5192-1	俺は大学病院を担当していた
5192-0	大学病院を俺は担当していた
5195-1	ＣＰＵはどうにか５０％前後だから良いのだが，メモリーはヤバい！
5195-0	どうにか５０％前後だからＣＰＵは良いのだが，メモリーはヤバい！
5198-1	マウスパッドになぜか電卓がついているものだった。
5198-0	電卓がなぜかマウスパッドについているものだった。
5202-0	体調管理には春学ももうすぐなので気をつけます
5202-1	春学ももうすぐなので体調管理には気をつけます
5203-1	比叡山の自然はとても美しいです。
5203-0	とても比叡山の自然は美しいです。
5205-1	この相関図なら大和田○だけ準備しとくわ。
5205-0	大和田○だけこの相関図なら準備しとくわ。
5208-1	富士サファリパークってココにあるんだ〜
5208-0	ココに富士サファリパークってあるんだ〜
5209-1	昨年の１１月には母が他界しました。
5209-0	母が昨年の１１月には他界しました。
5210-0	１，０００トンを漁獲量が超えました
5210-1	漁獲量が１，０００トンを超えました
5214-0	ランニング中止命令が先生から出た
5214-1	先生からランニング中止命令が出た
5216-0	無事完走できたからアポロンはいいんだけど
5216-1	アポロンは無事完走できたからいいんだけど
5223-0	１人で子供が履けるように
5223-1	子供が１人で履けるように
5225-0	アーカンジェルにいつでも遊びにいらしてくださいね！
5225-1	いつでもアーカンジェルに遊びにいらしてくださいね！
5226-1	どれもポジションが肝となります。
5226-0	ポジションがどれも肝となります。
5230-0	発達障害などは昔はなかったんですよね？
5230-1	昔は発達障害などはなかったんですよね？
5231-1	こちらではすでにマンツーマンレッスンやグループレッスンもスタート。
5231-0	マンツーマンレッスンやグループレッスンもすでにこちらではスタート。
5234-0	盛岡で今日は講演でした。
5234-1	今日は盛岡で講演でした。
5245-0	コンプレックスは相変わらずひどかったけど。
5245-1	相変わらずコンプレックスはひどかったけど。
5253-0	カウンターで利用希望の場合はご相談ください。
5253-1	利用希望の場合はカウンターでご相談ください。
5257-0	光合成で児島啓介の２２％は出来ています
5257-1	児島啓介の２２％は光合成で出来ています
5269-1	天使がたくさん空を飛んでいますね！
5269-0	たくさん空を天使が飛んでいますね！
5272-1	いったい何を打つんだろ？
5272-0	何をいったい打つんだろ？
5276-1	現状ではＩＥ５で表示を確認しております
5276-0	表示を現状ではＩＥ５で確認しております
5277-1	そして何故か川で釣りをやっている清志郎。
5277-0	そして何故か釣りを川でやっている清志郎。
5280-1	やっぱり学校の図書館だと限界があるんですよね。
5280-0	限界がやっぱり学校の図書館だとあるんですよね。
5281-0	まったく落ちる自信は無し！
5281-1	落ちる自信はまったく無し！
5283-0	リッター５に次は挑むわ
5283-1	次はリッター５に挑むわ
5289-1	またしても名指しで質問を受けた
5289-0	またしても質問を名指しで受けた
5290-0	お金をいくらまで冒険アイテムにかけられるか
5290-1	冒険アイテムにいくらまでお金をかけられるか
5292-0	モチベーションが聞いているだけでうなぎのぼりです！
5292-1	聞いているだけでモチベーションがうなぎのぼりです！
5297-0	一番艦載機の量は多い
5297-1	艦載機の量は一番多い
5298-1	日本の作家には３通りの人たちがいる。
5298-0	３通りの人たちが日本の作家にはいる。
5300-1	飛ばすためには何よりシャフトが重要です。
5300-0	何より飛ばすためにはシャフトが重要です。
5302-0	いろいろと姉としては複雑なのです。
5302-1	姉としてはいろいろと複雑なのです。
5303-0	良いですねぇ下田は癒されます。
5303-1	下田は良いですねぇ癒されます。
5309-0	けっこう途中から面白かった。
5309-1	途中からけっこう面白かった。
5313-1	みんな写真を撮ってた
5313-0	写真をみんな撮ってた
5323-1	そんな訳で部長はＭａｃから撤退するみたいです。
5323-0	そんな訳でＭａｃから部長は撤退するみたいです。
5324-1	なんといってもベンツのＥクラスなら加速は負けないから良いですね！
5324-0	加速はなんといってもベンツのＥクラスなら負けないから良いですね！
5327-0	はなちゃんにはたしてかてるかな？
5327-1	はたしてはなちゃんにかてるかな？
5333-1	これらすべては自分のために行なってるんだ。
5333-0	自分のためにこれらすべては行なってるんだ。
5334-1	やっぱり大きな電力に対応させた方が
5334-0	大きな電力にやっぱり対応させた方が
5335-0	今週末はお披露目がＡＲＥＡ８６等で行われているようです。
5335-1	今週末はＡＲＥＡ８６等でお披露目が行われているようです。
5336-1	強敵には一発屋がたくさんいるけどね
5336-0	たくさん一発屋が強敵にはいるけどね
5337-0	ずっと好きな人と一緒にいたいな♪
5337-1	好きな人とずっと一緒にいたいな♪
5338-1	ほんでＪＯＥは一発決勝♪
5338-0	ＪＯＥはほんで一発決勝♪
5341-1	もちろんキンメも喰います。
5341-0	キンメももちろん喰います。
5344-0	これしかトトスは金冠サイズが獲れない。
5344-1	トトスはこれしか金冠サイズが獲れない。
5345-1	今は事実関係の確認を行いたい。
5345-0	事実関係の確認を今は行いたい。
5347-0	トキメキをこのコンビに抱いております。
5347-1	このコンビにトキメキを抱いております。
5352-1	田舎ではみんな傘をかけているそうです。
5352-0	傘を田舎ではみんなかけているそうです。
5367-0	ニコニコ動画の大雨洪水ハッピーシンセサイザの動画をニコッターでは掲載しています。
5367-1	ニコッターではニコニコ動画の大雨洪水ハッピーシンセサイザの動画を掲載しています。
5368-0	ＣＷメインで２０年ぶりに再開する予定です。
5368-1	２０年ぶりにＣＷメインで再開する予定です。
5369-1	先日は温かなコメントをありがとうございました。
5369-0	温かなコメントを先日はありがとうございました。
5370-0	大会名が今年から変更となった。
5370-1	今年から大会名が変更となった。
5371-0	天麩羅をそろそろ復活させるべきだな
5371-1	そろそろ天麩羅を復活させるべきだな
5372-0	月一導入にこれもしたらどうかな〜？
5372-1	これも月一導入にしたらどうかな〜？
5376-0	軽やかさが前者は印象的でした。
5376-1	前者は軽やかさが印象的でした。
5379-1	ＪＲおおさか東線には７の駅があります
5379-0	７の駅がＪＲおおさか東線にはあります
5383-1	私も少しですが魔力が溜まってきました。
5383-0	魔力が私も少しですが溜まってきました。
5398-0	コレもやっぱ変かな？
5398-1	やっぱコレも変かな？
5399-0	３Ｐを山本に決められ５５−５４。
5399-1	山本に３Ｐを決められ５５−５４。
5405-0	ＬＤ５３０がムラなく焼きたいならいいです
5405-1	ムラなく焼きたいならＬＤ５３０がいいです
5408-0	薬の微調整をそのたびに行いました。
5408-1	そのたびに薬の微調整を行いました。
5412-1	まるで少女の表面にノイズが走ったような。
5412-0	ノイズが少女の表面にまるで走ったような。
5418-0	ホムペにしばらく移ります。
5418-1	しばらくホムペに移ります。
5419-1	マウス使ってもカスはカス。
5419-0	カスはマウス使ってもカス。
5425-1	地方公務員が市民並みに愚か者なのは否定しない。
5425-0	市民並みに地方公務員が愚か者なのは否定しない。
5428-0	お前にこれでやっと追いついたわけだし。
5428-1	これでやっとお前に追いついたわけだし。
5440-0	長男を大島美幸が出産！
5440-1	大島美幸が長男を出産！
5444-0	あちこちにほんと京都っておいしいラーメン店できてますよね〜！
5444-1	ほんと京都ってあちこちにおいしいラーメン店できてますよね〜！
5446-0	雪がひょっとすると沖縄でも降るのでは？
5446-1	ひょっとすると沖縄でも雪が降るのでは？
5452-0	短時間でこの色塗りなら終わるしね
5452-1	この色塗りなら短時間で終わるしね
5460-1	泉佐野市に直営２号店をオープン
5460-0	直営２号店を泉佐野市にオープン
5464-0	データが以下にあります。
5464-1	以下にデータがあります。
5465-1	フランスはかなりすごい。
5465-0	かなりフランスはすごい。
5467-0	持つのもキヤノンのデザイン性は楽しいですよね♪
5467-1	キヤノンのデザイン性は持つのも楽しいですよね♪
5468-1	何で白髪にしたんだろ？
5468-0	白髪に何でしたんだろ？
5473-1	ＳｈａｒｉｎｇＭａｔｒｉｘがＦｉｌｅＳｏｎｉｃに名称変更したそうだ
5473-0	ＦｉｌｅＳｏｎｉｃにＳｈａｒｉｎｇＭａｔｒｉｘが名称変更したそうだ
5474-0	どちらのＭｒ．２があなたは強いと思いますか？
5474-1	あなたはどちらのＭｒ．２が強いと思いますか？
5477-1	せめて１０ＧＢとかにならんもんかなあ
5477-0	１０ＧＢとかにせめてならんもんかなあ
5482-0	誰かにたまには作ってほしい
5482-1	たまには誰かに作ってほしい
5488-0	９８年にこのバスは購入された。
5488-1	このバスは９８年に購入された。
5490-1	平成２３年度は９事業が補助対象事業に選ばれました。
5490-0	補助対象事業に９事業が平成２３年度は選ばれました。
5493-0	もっとこれからは弾こう。
5493-1	これからはもっと弾こう。
5494-1	今までも何度かご紹介していますが
5494-0	何度か今までもご紹介していますが
5508-0	ちょっと月に２回は少ないですよね。
5508-1	月に２回はちょっと少ないですよね。
5510-1	雨が降ってる日はなんか憂鬱。
5510-0	なんか雨が降ってる日は憂鬱。
5516-0	雨がいつも降っているよ〜
5516-1	いつも雨が降っているよ〜
5525-0	宝石をイルカが抱っこしてる〜っ！！
5525-1	イルカが宝石を抱っこしてる〜っ！！
5526-1	そんなわけでタックルの準備を始めてみました。
5526-0	タックルの準備をそんなわけで始めてみました。
5527-0	興行に参戦することもこのままではままならない。
5527-1	このままでは興行に参戦することもままならない。
5529-1	キミは何を聞いていたの？
5529-0	何をキミは聞いていたの？
5537-0	市民団体がマンションの高度規制でシンポジウム
5537-1	マンションの高度規制で市民団体がシンポジウム
5541-0	まだＬｕｃｉａさんは写真を登録していません
5541-1	Ｌｕｃｉａさんはまだ写真を登録していません
5551-0	仲良く親子３人が営んでいるお店です。
5551-1	親子３人が仲良く営んでいるお店です。
5556-0	お腹がとってもすきました。
5556-1	とってもお腹がすきました。
5562-0	ほとんどまだ風も吹いていない。
5562-1	風もまだほとんど吹いていない。
5567-1	当時はイタリアのことを日本語でもイタリーと言っていたのでしょうか？
5567-0	日本語でもイタリーとイタリアのことを当時は言っていたのでしょうか？
5572-0	寂しさあんまり忙しい時はないんだけど
5572-1	忙しい時は寂しさあんまりないんだけど
5573-1	そんな花村さんにはやんちゃな一面があります。
5573-0	やんちゃな一面がそんな花村さんにはあります。
5580-0	いつの間にか電源が初期設定のままだと切れている。
5580-1	初期設定のままだといつの間にか電源が切れている。
5588-1	ｒｅｅｓｅ０８０２さんはナオにゃんさんを良い落札者と評価しました。
5588-0	ｒｅｅｓｅ０８０２さんは良い落札者とナオにゃんさんを評価しました。
5590-0	コロコロ主張が代わり過ぎだろ
5590-1	主張がコロコロ代わり過ぎだろ
5591-0	張りが腱にでたそうです
5591-1	腱に張りがでたそうです
5598-0	愛されてきてくださいねたくさん＾＾
5598-1	たくさん愛されてきてくださいね＾＾
5602-1	つぎはどこに行こうかなぁ。
5602-0	どこにつぎは行こうかなぁ。
5603-1	しょうがないからソースを持ってきてみます。
5603-0	ソースをしょうがないから持ってきてみます。
5624-0	カフェ工房のようなモノがそこには在りました
5624-1	そこにはカフェ工房のようなモノが在りました
5627-0	オレンジ系をチークの境目にさっと今は乗せたりしていますが。
5627-1	今はチークの境目にオレンジ系をさっと乗せたりしていますが。
5631-0	一層テカテカと脂ぎったお顔が不気味です。
5631-1	テカテカと脂ぎったお顔が一層不気味です。
5633-0	患者さんと飲み屋で出会って
5633-1	飲み屋で患者さんと出会って
5634-0	メチャ許せんよなこいつだけはァーッ！
5634-1	こいつだけはメチャ許せんよなァーッ！
5641-1	それが一番しっくりきている。
5641-0	一番しっくりそれがきている。
5642-1	他にいくらでも有る。
5642-0	いくらでも他に有る。
5644-1	全ての文字を指定文字に変換します
5644-0	指定文字に全ての文字を変換します
5645-0	仕事をいい環境でしている
5645-1	いい環境で仕事をしている
5649-1	今日はｊｏｉｎでの資料検索の方法のことを学びました。
5649-0	ｊｏｉｎでの資料検索の方法のことを今日は学びました。
5650-0	これを報道陣は拒否
5650-1	報道陣はこれを拒否
5654-0	しっかりうしろ８枚が守備するならね
5654-1	うしろ８枚がしっかり守備するならね
5655-0	一層の心のケアがより求められます。
5655-1	より一層の心のケアが求められます。
5658-0	ほぼ世界中でこれは同様。
5658-1	これは世界中でほぼ同様。
5659-1	せめてタバコ代は欲しかったでの〜
5659-0	タバコ代はせめて欲しかったでの〜
5661-0	平塚ビーチパークで明日はＰＶＡトーナメント＆３ｏｎ３の大会があります。
5661-1	明日は平塚ビーチパークでＰＶＡトーナメント＆３ｏｎ３の大会があります。
5665-1	やっぱり時間が合わなくて
5665-0	時間がやっぱり合わなくて
5668-1	複数の求人サイト管理に手間がかかる
5668-0	手間が複数の求人サイト管理にかかる
5672-0	ビンス・カーターをダンクコンテストだけなら自分は押しますね。
5672-1	ダンクコンテストだけなら自分はビンス・カーターを押しますね。
5676-1	皆さんも色々がんばってねー
5676-0	色々皆さんもがんばってねー
5678-0	撮影の疲れをもちろん癒してくれる温泉も格別です！
5678-1	もちろん撮影の疲れを癒してくれる温泉も格別です！
5679-0	不平不満を陰では沢山言っている。
5679-1	陰では不平不満を沢山言っている。
5680-0	屑をコレクションの女王は整備する
5680-1	コレクションの女王は屑を整備する
5681-0	原因を加賀町署が調べている。
5681-1	加賀町署が原因を調べている。
5687-0	センターラインは雨がこの辺まで激しかったが見えていた。
5687-1	この辺まで雨が激しかったがセンターラインは見えていた。
5691-0	３２人を穴掘りや鶏舎の消毒には充てる。
5691-1	穴掘りや鶏舎の消毒には３２人を充てる。
5709-0	１０００万までしか電卓は計算できない！！
5709-1	電卓は１０００万までしか計算できない！！
5720-0	全く考え方が違うんです。
5720-1	考え方が全く違うんです。
5722-1	名前の無い少年はただひたすら呆れた。
5722-0	ひたすらただ名前の無い少年は呆れた。
5724-0	コンビニでひとまず時間をつぶす。
5724-1	ひとまずコンビニで時間をつぶす。
5725-1	なんでまだ水曜なんだ？
5725-0	まだなんで水曜なんだ？
5726-0	石破よりは何万倍も安部がベストとは思わんがマシだろ
5726-1	安部がベストとは思わんが石破よりは何万倍もマシだろ
5732-1	そこに導いていくのはやはり大人たちなのですからね。
5732-0	やはりそこに導いていくのは大人たちなのですからね。
5735-1	札幌ではすっかり雪景色になったそうですね。
5735-0	すっかり札幌では雪景色になったそうですね。
5739-1	盛岡でボーリング場以外でボウリング用品が購入できるショップはないでしょうか？
5739-0	ボウリング用品がボーリング場以外で購入できるショップは盛岡でないでしょうか？
5740-0	ここまでテレビだけの購入で引けました。
5740-1	テレビだけの購入でここまで引けました。
5742-1	タイトル戦線の行方にも影響が出てきそうだ。
5742-0	影響がタイトル戦線の行方にも出てきそうだ。
5744-0	自分で自宅の塀のことぐらい解決してください。
5744-1	自宅の塀のことぐらい自分で解決してください。
5750-0	１人仲間がまた増えてとっても嬉しいです〜☆
5750-1	また１人仲間が増えてとっても嬉しいです〜☆
5751-0	勉強不足で難しいページは本当は作れないだけなのですが。
5751-1	本当は勉強不足で難しいページは作れないだけなのですが。
5752-0	長靴＆カッパはとりあえず持っていったけど…。
5752-1	とりあえず長靴＆カッパは持っていったけど…。
5755-0	あちこちでｂｌｅｅｄｍａｎさんってけっこう有名になってるのかもしれない。
5755-1	ｂｌｅｅｄｍａｎさんってけっこうあちこちで有名になってるのかもしれない。
5758-0	時間が経つのが面白い試合は早い。
5758-1	面白い試合は時間が経つのが早い。
5760-1	そうなると益々無理
5760-0	益々そうなると無理
5761-1	処置や手術を行うことは比較的容易です。
5761-0	比較的処置や手術を行うことは容易です。
5765-0	のどが私も弱いんですよ。
5765-1	私ものどが弱いんですよ。
5768-1	突然の寒さにダウンコートを着てしまいました。
5768-0	ダウンコートを突然の寒さに着てしまいました。
5769-0	値引きにはもちろんひかれますが。
5769-1	もちろん値引きにはひかれますが。
5770-1	これで犯人も改心するかなぁ。
5770-0	犯人もこれで改心するかなぁ。
5778-1	外食など食品産業にも協力を求める。
5778-0	協力を外食など食品産業にも求める。
5779-1	その職場ではどういう意味になるの？
5779-0	どういう意味にその職場ではなるの？
5781-0	上から指示が何か入ったんだろうか
5781-1	上から何か指示が入ったんだろうか
5794-1	アシスタントはすぐにジュニア・マネージャーになる。
5794-0	ジュニア・マネージャーにアシスタントはすぐになる。
5800-1	私は鎌倉が初めてでした。
5800-0	鎌倉が私は初めてでした。
5801-0	日本にこんな奴ばかり何で住んでいるんだ？
5801-1	何でこんな奴ばかり日本に住んでいるんだ？
5802-0	クビにでも下の人間をするつもりでしょうか？
5802-1	下の人間をクビにでもするつもりでしょうか？
5806-1	前の日記から二週間以上も空いちゃってましたね；
5806-0	空いちゃってましたね前の日記から二週間以上も；
5807-1	今日は早めの時間からバイト。
5807-0	早めの時間から今日はバイト。
5813-1	彼氏は何も言わなかったけど。
5813-0	何も彼氏は言わなかったけど。
5819-1	男ってかなり甘えん坊だったり自惚れていたりしますからね
5819-0	かなり男って甘えん坊だったり自惚れていたりしますからね
5820-1	雪も青空に対比するときれいだ．
5820-0	青空に雪も対比するときれいだ．
5821-1	やっぱり家での食事が良いね〜
5821-0	家での食事がやっぱり良いね〜
5823-1	まず１つ目に観光関連の事業があります。
5823-0	１つ目に観光関連の事業がまずあります。
5826-1	みさおって新幹線に似てる。
5826-0	新幹線にみさおって似てる。
5831-0	にっこりとモリーは笑った。
5831-1	モリーはにっこりと笑った。
5835-1	午後はずっとこっちで滑ってました。
5835-0	ずっと午後はこっちで滑ってました。
5841-1	それアフィカスが炎上商法ででっちあげたネタだぞ
5841-0	炎上商法でそれアフィカスがでっちあげたネタだぞ
5845-0	ほとんどここにはビグスクに詳しい人はいないよ。
5845-1	ここにはビグスクに詳しい人はほとんどいないよ。
5846-1	この度７０代の親が突然亡くなりました。
5846-0	突然この度７０代の親が亡くなりました。
5847-0	９９円ショップでもココナッツサブレは売っているので
5847-1	ココナッツサブレは９９円ショップでも売っているので
5848-0	校正がここから一苦労。
5848-1	ここから校正が一苦労。
5853-0	動物とのふれあいやエサやり体験が見どころ：園内のいたるところでできます。
5853-1	見どころ：園内のいたるところで動物とのふれあいやエサやり体験ができます。
5867-0	トドメを敵地でイッキに刺す
5867-1	敵地でイッキにトドメを刺す
5879-1	どこに行くにもここが起点。
5879-0	ここがどこに行くにも起点。
5881-1	杉崎美香さんはかなり勉強家のようですよ。
5881-0	かなり杉崎美香さんは勉強家のようですよ。
5883-1	サラリーマンの方はまだまだつらい時期が続くでしょうね。
5883-0	まだまだつらい時期がサラリーマンの方は続くでしょうね。
5884-0	近くのクラブで私はテニスを始めたのでした。
5884-1	私は近くのクラブでテニスを始めたのでした。
5889-1	管理人はＵＭＤを所持していません。
5889-0	ＵＭＤを管理人は所持していません。
5894-0	これが正直限界ですね
5894-1	正直これが限界ですね
5902-1	シングルで一番好きやわ
5902-0	一番シングルで好きやわ
5904-1	こいつだけは自分で踏みたくないですし。
5904-0	自分でこいつだけは踏みたくないですし。
5906-0	値上げや撤退が今月は多すぎる。
5906-1	今月は値上げや撤退が多すぎる。
5912-1	批判政党が与党になったことでの功罪とか
5912-0	与党に批判政党がなったことでの功罪とか
5917-1	この勢いだと今日中に埋まるのかなー
5917-0	今日中にこの勢いだと埋まるのかなー
5919-0	ＦＡでカージナルスに田口は行ったんですよね。
5919-1	田口はＦＡでカージナルスに行ったんですよね。
5927-1	その度に同じ説得をしている．
5927-0	同じ説得をその度にしている．
5929-1	ノーマルだけど結構早いです。
5929-0	結構ノーマルだけど早いです。
5938-1	スペクトラムホールにはＭＭシリーズが勢揃い！
5938-0	ＭＭシリーズがスペクトラムホールには勢揃い！
5945-0	責任を自分の考えや言葉に持ってはどうですか？
5945-1	自分の考えや言葉に責任を持ってはどうですか？
5953-1	今日は中身が無かったな
5953-0	中身が今日は無かったな
5958-0	隣の市に感覚としては等しい。
5958-1	感覚としては隣の市に等しい。
5968-1	ＣＶＴは始終伝達効率が悪いんですが
5968-0	伝達効率がＣＶＴは始終悪いんですが
5969-1	とりあえず私的にはなんか微妙。
5969-0	とりあえずなんか私的には微妙。
5970-0	お手頃な価格にソファーもなったんですね。
5970-1	ソファーもお手頃な価格になったんですね。
5974-1	今日は港南台店で営業後に講習会を行いました！
5974-0	港南台店で営業後に今日は講習会を行いました！
5975-0	なにもメーカーには言っていません。
5975-1	メーカーにはなにも言っていません。
5976-0	萌えと燃えが今回も充実してます。
5976-1	今回も萌えと燃えが充実してます。
5979-0	道がそこにあるからじゃ。
5979-1	そこに道があるからじゃ。
5981-0	日々進化をダイエット家電・グッズはしていきます。
5981-1	ダイエット家電・グッズは日々進化をしていきます。
5982-1	っていうか最近じゃ現職の最高裁判所の判事が捕まって
5982-0	っていうか現職の最高裁判所の判事が最近じゃ捕まって
5987-0	大阪人に俺はなりたかった。
5987-1	俺は大阪人になりたかった。
5990-1	ムーンダストはとっても神秘的ですよ♪
5990-0	とってもムーンダストは神秘的ですよ♪
5993-1	陰謀論は絶対やめろ。
5993-0	絶対陰謀論はやめろ。
5994-0	ＣＤを中村先生が出されました。
5994-1	中村先生がＣＤを出されました。
5996-1	現在もまだツイキャスで中継中。
5996-0	ツイキャスでまだ現在も中継中。
5997-1	これも何かの縁だから今後も宜しくねぇ！
5997-0	今後もこれも何かの縁だから宜しくねぇ！
6000-0	キット販売に機械商社の山善も昨年１２月に参入した。
6000-1	機械商社の山善も昨年１２月にキット販売に参入した。
6005-0	これが今後は当たり前だ！！
6005-1	今後はこれが当たり前だ！！
6006-0	セシたんがいつかお迎えに上がっていったりしちゃうのかな。
6006-1	いつかセシたんがお迎えに上がっていったりしちゃうのかな。
6009-0	今日から国際チームはラストスパートです。
6009-1	国際チームは今日からラストスパートです。
6015-0	コメントをｂｌｏｇに残して下さった方々。
6015-1	ｂｌｏｇにコメントを残して下さった方々。
6018-1	すべて自分のせいと受け取る。
6018-0	自分のせいとすべて受け取る。
6020-0	新型インフルエンザのニュースが今度は入ってきました。
6020-1	今度は新型インフルエンザのニュースが入ってきました。
6021-1	だったら同盟なんて入るなよ
6021-0	同盟なんてだったら入るなよ
6028-1	最初はギャラクティックマップからスタートする。
6028-0	ギャラクティックマップから最初はスタートする。
6029-1	特に１枚目の混成編成はＤＣならではですね。
6029-0	１枚目の混成編成は特にＤＣならではですね。
6035-0	審査員のインパクトにとにかく残ればいいんでしょ？
6035-1	とにかく審査員のインパクトに残ればいいんでしょ？
6036-1	なんと１位には１００００円の賞金が出ます。
6036-0	１００００円の賞金がなんと１位には出ます。
6040-1	事業収支に大きな影響が出るのは当然である
6040-0	大きな影響が事業収支に出るのは当然である
6043-1	この協議会で顧問を務める知事。
6043-0	顧問をこの協議会で務める知事。
6045-1	またこういう性差別的な釣り餌を垂らすし。
6045-0	こういう性差別的な釣り餌をまた垂らすし。
6047-0	そういうのがドイツは昔からうまい。
6047-1	ドイツは昔からそういうのがうまい。
6055-1	これも多くのケータイサイトが抱える問題だ。
6055-0	多くのケータイサイトがこれも抱える問題だ。
6057-1	カジュアルな雰囲気のＳａｌｖａｔｏｒｅｓカフェではイタリア料理が楽しめます。
6057-0	イタリア料理がカジュアルな雰囲気のＳａｌｖａｔｏｒｅｓカフェでは楽しめます。
6062-0	左手指でミュートは消します。
6062-1	ミュートは左手指で消します。
6064-1	次は感想を送りますね。
6064-0	感想を次は送りますね。
6067-0	全員がコミッサールは死刑を宣告された。
6067-1	コミッサールは全員が死刑を宣告された。
6068-0	何がここにはできるでしょうか？
6068-1	ここには何ができるでしょうか？
6070-1	名前はなんと読むのかな？
6070-0	なんと名前は読むのかな？
6071-0	人と人のつながりをいまは仕事より優先してます。
6071-1	いまは仕事より人と人のつながりを優先してます。
6072-0	何も金融当局はしない。
6072-1	金融当局は何もしない。
6074-0	愛情がまだまだテーマの日々は続きますよ♪
6074-1	まだまだ愛情がテーマの日々は続きますよ♪
6077-1	ここから頂上までは一息で登れる。
6077-0	ここから一息で頂上までは登れる。
6080-1	滋賀県の名産物って何かありますか？
6080-0	何か滋賀県の名産物ってありますか？
6082-0	ここで霧切さんとの会話は打ち切るね。
6082-1	霧切さんとの会話はここで打ち切るね。
6084-0	全く自分が真逆なので…。
6084-1	自分が全く真逆なので…。
6086-1	なんともイイ事が起こる日で。
6086-0	イイ事がなんとも起こる日で。
6087-0	とってもメロディーが綺麗。
6087-1	メロディーがとっても綺麗。
6088-0	こちらでそんな願いを解決。
6088-1	そんな願いをこちらで解決。
